Qs2c,2.98,8d2h,10.53,2d2s,0.32,4h5h,9.72,6h5c,13.18,QcJh,32.87,3h5s,7.7,Ac4s,22.71
3cQc,19.76,8cJd,9.26,7h5s,6.21,4h2h,13.81,5d6d,8.78,Kc7d,14.63,Jh9s,15.34,Td2d,12.2
5s4c,8.11,8s6h,9.48,AsAc,34.16,2c5d,4.3,2hQh,6.9,KhKd,19.59,7s7d,11.84,Qs3h,5.61
4hAs,8.89,9sJc,20.78,Kc3c,25.19,7c9d,10.74,Ts6h,9.79,Ah6s,9.79,7s2s,9.33,4d3s,5.49
AhKc,27.46,Tc2d,16.05,7hAs,9.91,Jh3s,3.06,5s8s,15.27,8dJc,8.83,3c9c,14.12,5cJd,5.29
